path,r_1,r_1_angles,r_1_nfev
graphs/main/nodes_12/depth_3/142.gml,0.8395727557120731,[-0.17717971 -2.86397179],39
graphs/main/nodes_12/depth_3/143.gml,0.7482484654090182,[-1.80369455  0.42734614],36
graphs/main/nodes_12/depth_3/144.gml,0.8685305623414359,[-2.96923117  1.29430773],45
graphs/main/nodes_12/depth_3/145.gml,0.782741186247352,[-1.36553714 -1.14818955],123
graphs/main/nodes_12/depth_3/146.gml,0.7993963851281805,[-0.1871941  -2.84561988],78
graphs/main/nodes_12/depth_3/147.gml,0.7585744592538848,[-1.35234171 -0.70272986],54
graphs/main/nodes_12/depth_3/148.gml,0.7641269527300191,[-1.76214312 -0.69781047],45
graphs/main/nodes_12/depth_3/149.gml,0.8627197071036073,[-2.96362522  2.8604122 ],45
graphs/main/nodes_12/depth_3/150.gml,0.8400793011003559,[-2.96800321  2.86048488],42
graphs/main/nodes_12/depth_3/151.gml,0.8256737658576858,[2.94715015 0.30528883],63
graphs/main/nodes_12/depth_3/152.gml,0.8144153108090196,[1.3549652  0.81179701],30
graphs/main/nodes_12/depth_3/153.gml,0.8020967269398248,[0.18878541 2.84120761],90
graphs/main/nodes_12/depth_3/154.gml,0.8233817491325168,[ 2.98763434 -2.88529788],33
graphs/main/nodes_12/depth_3/155.gml,0.8718918677198697,[ 2.97631259 -1.30117263],105
graphs/main/nodes_12/depth_3/156.gml,0.7713371052557703,[-1.76589065  1.93408365],48
graphs/main/nodes_12/depth_3/157.gml,0.7649548356297403,[ 1.79067887 -0.75280226],30
graphs/main/nodes_12/depth_3/158.gml,0.8522673932967971,[-2.96555661  1.2869575 ],42
graphs/main/nodes_12/depth_3/159.gml,0.8460882063346369,[-2.97380738  1.29489512],57
graphs/main/nodes_12/depth_3/160.gml,0.8078239918701076,[-1.39381253 -2.76386244],27
graphs/main/nodes_12/depth_3/161.gml,0.7115384615342019,[-2.35622719  0.11470061],33
graphs/main/nodes_12/depth_3/162.gml,0.8474064817493482,[1.39957357 1.18141783],33
graphs/main/nodes_12/depth_3/163.gml,0.8299698835649311,[-2.94911916  1.27542953],39
graphs/main/nodes_12/depth_3/164.gml,0.7542506786651965,[-1.75179414 -0.72772483],36
graphs/main/nodes_12/depth_3/165.gml,0.8245817446076428,[-2.97229703  1.2980094 ],39
graphs/main/nodes_12/depth_3/166.gml,0.8229110659466604,[0.20262692 2.83702962],51
graphs/main/nodes_12/depth_3/167.gml,0.8070579047998699,[-2.96091752  1.2794423 ],45
graphs/main/nodes_12/depth_3/168.gml,0.7763909349298018,[-0.18932276 -2.84826645],63
